Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo, Rep.",386.669,380.665,374.66,370.423,366.186,361.948,357.711,353.474,349.982,346.49,342.998,339.506,336.014,333.403,330.793,328.182,325.572,322.961,321.116,319.271,317.427,315.582,313.737,316.271,318.805,321.339,323.873,326.407,335.289,344.171,353.053,361.935,370.816,381.284,391.752,402.219,412.687,423.154,424.688,426.221,427.754,429.288,430.821,415.589,400.358,385.126,369.894,354.662,344.187,333.711,323.236,312.76,302.285,294.847,287.41,279.972,272.535,265.097,
Colombia,297.543,292.653,287.763,284.217,280.67,277.124,273.577,270.031,268.21,266.389,264.568,262.747,260.926,259.507,258.088,256.669,255.25,253.831,252.555,251.278,250.002,248.726,247.45,248.347,249.245,250.142,251.04,251.937,255.321,258.706,262.09,265.474,268.859,263.326,257.793,252.261,246.728,241.195,237.494,233.793,230.093,226.392,222.691,219.663,216.635,213.607,210.579,207.551,205.236,202.921,200.607,198.292,195.977,194.263,192.549,190.835,189.12,187.406,
Comoros,499.881,494.99,490.1,485.254,480.408,475.562,470.716,465.87,460.702,455.534,450.366,445.198,440.031,435.123,430.214,425.306,420.398,415.49,408.204,400.918,393.632,386.346,379.06,372.27,365.48,358.69,351.901,345.111,339.324,333.537,327.75,321.964,316.177,312.786,309.396,306.005,302.614,299.223,298.634,298.044,297.454,296.865,296.275,293.306,290.336,287.366,284.397,281.427,277.131,272.834,268.538,264.241,259.945,257.497,255.05,252.602,250.154,247.707,
Cabo Verde,409.786,408.487,407.188,400.818,394.448,388.078,381.708,375.338,369.287,363.235,357.183,351.132,345.08,333.412,321.745,310.077,298.409,286.742,282.568,278.395,274.222,270.048,265.875,261.919,257.963,254.007,250.051,246.095,242.457,238.819,235.181,231.542,227.904,222.764,217.623,212.482,207.342,202.201,194.184,186.167,178.15,170.132,162.115,161.057,159.999,158.94,157.882,156.824,156.329,155.834,155.338,154.843,154.348,152.183,150.018,147.853,145.688,143.523,
Costa Rica,231.533,222.459,213.385,208.699,204.012,199.326,194.639,189.952,187.892,185.831,183.77,181.709,179.649,178.764,177.879,176.994,176.109,175.224,169.662,164.101,158.54,152.979,147.417,144.832,142.247,139.662,137.077,134.492,133.821,133.15,132.479,131.808,131.137,130.54,129.943,129.347,128.75,128.154,127.631,127.108,126.586,126.063,125.54,125.008,124.476,123.944,123.412,122.879,122.066,121.253,120.44,119.627,118.814,116.479,114.143,111.808,109.472,107.137,
Caribbean small states,261.0421802,256.9749035,252.8854913,250.5515752,248.2140978,245.9125502,243.6820102,241.4886005,240.0816997,238.5937503,236.9965669,235.4545165,233.7640583,231.8201756,229.8163046,227.7975995,225.6221512,223.5397056,222.9384639,222.3600426,221.7581937,221.1135803,220.3598343,220.7456082,221.1377983,221.5941162,222.161404,222.7933045,224.1438087,225.5054783,226.8707615,228.2421558,229.6362957,230.6812748,231.731845,232.7879304,233.8539715,234.9392311,233.540665,232.1504111,230.7742342,229.420432,228.0768203,224.1923312,220.3168017,216.4477884,212.5530075,208.6525133,205.9852974,203.3113893,200.6312374,197.9995908,195.3646886,193.9897896,192.6296909,191.2943097,189.952673,188.650552,
Cuba,220.763,213.405,206.047,198.399,190.751,183.103,175.455,167.807,164.649,161.492,158.334,155.177,152.02,152.225,152.431,152.636,152.842,153.047,151.677,150.307,148.937,147.567,146.196,146.502,146.808,147.113,147.419,147.725,148.025,148.325,148.625,148.925,149.226,147.209,145.192,143.176,141.159,139.143,137.445,135.748,134.05,132.353,130.656,128.034,125.413,122.791,120.17,117.549,116.649,115.749,114.85,113.95,113.05,111.219,109.388,107.558,105.727,103.896,
Curacao,248.814,245.421,242.029,238.751,235.473,232.195,228.917,225.638,224.139,222.639,221.139,219.639,218.14,213.405,208.67,203.935,199.2,194.465,191.396,188.327,185.258,182.189,179.12,177.743,176.366,174.989,173.612,172.235,172.065,171.895,171.725,171.555,171.385,172.67,173.955,175.24,176.525,177.81,177.608,177.406,177.205,177.003,176.802,173.343,169.884,166.425,162.966,159.507,155.977,152.447,148.917,145.387,141.858,139.851,137.845,135.838,133.832,131.825,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,167.477,164.88,162.283,159.883,157.482,155.082,152.682,150.282,148.059,145.836,143.613,141.39,139.167,137.109,135.052,132.995,130.938,128.881,126.976,125.071,123.165,121.26,119.355,117.596,115.837,114.078,112.32,110.561,108.934,107.307,105.68,104.054,102.427,100.92,99.414,97.907,96.4,94.894,93.503,92.112,90.721,89.329,87.938,86.655,85.371,84.087,82.803,81.52,79.919,78.317,76.716,75.115,73.514,71.998,70.482,68.965,67.449,65.933,
Czech Republic,200.651,193.648,201.7,200.035,196.71,199.171,197.379,202.886,212.57,223.445,225.457,221.463,214.321,216.805,215.358,213.288,214.817,216.557,220.728,218.255,229.167,223.508,218.756,227.013,224.882,222.947,222.727,217.996,216.212,215.515,230.775,217.618,215.332,203.075,200.855,195.299,190.31,188.897,179.468,176.295,172.623,167.58,164.947,166.235,159.881,154.618,146.736,145.864,143.699,138.751,135.428,131.678,125.75,120.786,114.592,112.133,108.916,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.105,157.727,153.303,150.314,147.844,144.281,140.48,135.199,129.383,126.811,125.456,121.87,120.763,119.369,113.98,111.806,108.484,106.198,104.309,103.586,101.933,98.648,95.548,94.684,91.117,92.46,,,
Djibouti,433.831,428.844,423.857,419.38,414.904,410.428,405.951,401.475,394.97,388.466,381.961,375.456,368.952,365.748,362.545,359.341,356.138,352.935,348.678,344.422,340.165,335.909,331.653,328.79,325.927,323.064,320.2,317.337,317.824,318.311,318.797,319.284,319.77,324.504,329.237,333.971,338.704,343.437,344.377,345.316,346.256,347.195,348.135,341.681,335.228,328.775,322.321,315.868,308.973,302.078,295.183,288.287,281.392,279.325,277.258,275.191,273.124,271.057,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.1768534,,,,,,,,,,183,,,,,,,,,,,,,,,,,,
Denmark,150.519,150.907,156.759,155.867,156.633,158.787,156.491,156.998,153.061,154.293,158.529,160.262,161.351,163.146,164.688,159.868,166.875,159.732,159.515,166.568,166.792,165.79,164.534,164.817,161.521,162.215,161.742,162.611,156.782,159.536,155.211,150.624,147.322,146.046,145.665,142.308,141.132,133.328,128.913,127.693,125.917,123.926,124.075,118.031,121.273,111.142,115.834,115.937,107.446,106.703,104.849,97.155,92.572,90.145,86.724,82.945,82.426,,
Dominican Republic,303.347,295.248,287.149,280.464,273.778,267.093,260.407,253.721,251.445,249.169,246.893,244.616,242.34,242.235,242.129,242.023,241.917,241.812,241.438,241.064,240.69,240.316,239.942,239.158,238.374,237.591,236.807,236.023,235.603,235.184,234.764,234.344,233.924,233.677,233.431,233.184,232.937,232.69,232.133,231.577,231.02,230.463,229.907,227.735,225.564,223.393,221.222,219.051,216.989,214.927,212.865,210.803,208.741,207.167,205.594,204.02,202.446,200.872,
